,Inf,Name,Position,Nat,Age,Club,Transfer Value,Wage,Min AP,Min Fee Rls,Min Fee Rls to Foreign Clubs,Personality,Media Handling,Left Foot,Right Foot,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,Cor,Height,Injury Risk,Expires,,Min Value,Max Value,Avg Value,height_feet,height_inch,height_cm,Months Remaining
1, Una , Jordhy Thompson               , AM (RL)                          , CHI ,19.0, Orenburg                  , £230K - £2.3M   ,1200.0, -       , -           , -                            , Balanced            , Outspoken                   , Very Strong   , Weak          ,1.0,14.0,3.0,9.0,15.0,11.0,8.0,11.0,1.0,7.0,7.0,12.0,11.0,7.0,15.0,9.0,13.0,16.0,1.0,5.0,4.0,3.0,5.0,13.0,3.0,14.0,14.0,13.0,4.0,3.0,11.0,6.0,4.0,10.0,14.0,2.0,2.0,12.0,10.0,12.0," 5'3""   ", N/A         ,2025-12-31, ,230000.0,2300000.0,1265000.0,5,3,160.02,28.0
3,     , Suleiman Camara               ," M/AM (RL), ST (C)                ", GAM ,21.0, Ibiza                     , £120K - £1.2M   ,1700.0, -       , £750K       , -                            , Determined          , Media-friendly              , Reasonable    , Very Strong   ,4.0,14.0,3.0,8.0,11.0,7.0,13.0,9.0,2.0,10.0,11.0,12.0,11.0,18.0,14.0,11.0,11.0,13.0,4.0,9.0,1.0,3.0,7.0,9.0,6.0,10.0,13.0,12.0,9.0,2.0,11.0,1.0,8.0,10.0,12.0,2.0,2.0,8.0,14.0,7.0," 5'4""   ", Low         ,2025-06-30, ,120000.0,1200000.0,660000.0,5,4,162.56,22.0
5,     , Ryan Fraser                   , M/AM (RL)                        , SCO ,29.0, Southampton               , £6M - £7.4M     ,65000.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,2.0,15.0,1.0,7.0,13.0,13.0,14.0,13.0,3.0,10.0,12.0,13.0,12.0,13.0,13.0,13.0,13.0,12.0,3.0,2.0,3.0,1.0,10.0,12.0,6.0,15.0,13.0,14.0,10.0,3.0,12.0,11.0,7.0,13.0,12.0,2.0,3.0,11.0,17.0,13.0," 5'4""   ", Increased   ,2025-06-30, ,6000000.0,7400000.0,6700000.0,5,4,162.56,22.0
7,     , Julián Brea                   ," M/AM (L), ST (C)                 ", ARG ,23.0, Huachipato                , £220K - £650K   ,800.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,3.0,13.0,1.0,12.0,13.0,12.0,11.0,12.0,2.0,11.0,10.0,10.0,11.0,3.0,13.0,11.0,10.0,11.0,1.0,6.0,5.0,2.0,6.0,10.0,5.0,13.0,13.0,11.0,6.0,3.0,10.0,10.0,5.0,11.0,12.0,3.0,3.0,10.0,13.0,8.0," 5'5""   ", Low         ,2023-12-31, ,220000.0,650000.0,435000.0,5,5,165.1,4.0
9,     , Jason Holt                    ," DM, M/AM (C)                     ", SCO ,30.0, Livingston                , £190K - £1.9M   ,900.0, -       , -           , -                            , Fairly Professional ," Media-friendly, Reserved    ", Weak          , Very Strong   ,3.0,12.0,3.0,12.0,12.0,14.0,10.0,14.0,3.0,8.0,16.0,12.0,12.0,12.0,13.0,10.0,13.0,12.0,1.0,5.0,5.0,2.0,7.0,11.0,8.0,13.0,12.0,15.0,6.0,3.0,15.0,10.0,14.0,11.0,12.0,2.0,3.0,12.0,15.0,10.0," 5'5""   ", Very High   ,2025-05-31, ,190000.0,1900000.0,1045000.0,5,5,165.1,21.0
11,     , Lucas Bretelle                ," DM, M (C)                        ", FRA ,21.0, US Orléans                , £130K - £400K   ,775.0, -       , -           , -                            , Balanced            , Level-headed                , Weak          , Very Strong   ,1.0,12.0,3.0,12.0,13.0,8.0,10.0,12.0,3.0,10.0,11.0,6.0,15.0,6.0,5.0,5.0,14.0,5.0,1.0,2.0,2.0,2.0,10.0,11.0,7.0,10.0,12.0,14.0,14.0,1.0,9.0,4.0,13.0,10.0,12.0,1.0,1.0,11.0,12.0,9.0," 5'5""   ", Normal      ,2025-06-30, ,130000.0,400000.0,265000.0,5,5,165.1,22.0
13,     , Fran Beltrán                  ," DM, M (C)                        ", ESP ,24.0, Vigo                      , £6.8M - £8.6M   ,9750.0, -       , £38.5M      , -                            , Fairly Professional , Level-headed                , Reasonable    , Very Strong   ,2.0,13.0,1.0,12.0,14.0,15.0,15.0,12.0,1.0,14.0,14.0,10.0,14.0,12.0,12.0,8.0,14.0,11.0,1.0,7.0,7.0,1.0,9.0,11.0,12.0,14.0,11.0,15.0,13.0,3.0,13.0,10.0,13.0,18.0,14.0,1.0,3.0,11.0,17.0,9.0," 5'5""   ", Low         ,2026-06-30, ,6800000.0,8600000.0,7700000.0,5,5,165.1,34.0
15, Sct , Ian Poveda                    ," M (C), AM (RLC)                  ", ENG ,23.0, Sheffield Wednesday       , £1.6M - £3.2M   ,5500.0, £1.6M   , -           , -                            , Balanced            , Outspoken                   , Very Strong   , Reasonable    ,3.0,15.0,4.0,7.0,16.0,10.0,15.0,7.0,1.0,10.0,11.0,11.0,8.0,7.0,16.0,10.0,13.0,16.0,2.0,6.0,6.0,3.0,4.0,10.0,3.0,12.0,14.0,11.0,6.0,1.0,11.0,7.0,4.0,9.0,14.0,3.0,3.0,10.0,11.0,9.0," 5'5""   ", Increased   ,2024-06-30, ,1600000.0,3200000.0,2400000.0,5,5,165.1,10.0
17,     , Jairo                         , D/WB/M/AM (L)                    , ESP ,29.0, Cartagena                 , £110K - £1.1M   ,4000.0, -       , £3M         , -                            , Fairly Determined   , Media-friendly              , Very Strong   , Weak          ,3.0,16.0,1.0,11.0,14.0,12.0,10.0,11.0,3.0,10.0,10.0,11.0,11.0,16.0,13.0,8.0,12.0,12.0,3.0,6.0,4.0,1.0,9.0,7.0,10.0,13.0,14.0,11.0,10.0,1.0,13.0,7.0,10.0,14.0,13.0,3.0,2.0,13.0,15.0,8.0," 5'5""   ", Low         ,2024-06-30, ,110000.0,1100000.0,605000.0,5,5,165.1,10.0
19,     , Toichi Suzuki                 , D/WB/M/AM (L)                    , JPN ,23.0, Lausanne                  , £160K - £1.6M   ,1700.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Reasonable    ,3.0,13.0,1.0,13.0,9.0,14.0,7.0,13.0,1.0,9.0,10.0,11.0,11.0,11.0,10.0,9.0,14.0,9.0,1.0,13.0,4.0,1.0,6.0,8.0,8.0,11.0,9.0,15.0,10.0,1.0,9.0,14.0,13.0,13.0,13.0,1.0,1.0,11.0,14.0,8.0," 5'5""   ", Low         ,2026-06-30, ,160000.0,1600000.0,880000.0,5,5,165.1,34.0
